t,u_ib,E_p,E_p_err,factor,factor_err,exponent,r2
0.045,2.0,0.7790442989667925,0.0012164806476859602,0.14076213341310062,0.007500742015257501,-0.5,0.9883164696104038
0.06,-2.0,-3.6428047940062944,0.0002068961700154377,0.9063888710315138,0.0012919354978499279,-0.5,0.9874107499526577
0.06,-1.8,-3.065532788979356,0.00032357536509838397,0.6989648764353974,0.001989336436944998,-0.5,0.9904765385960951
0.06,-1.6,-2.5435372716424567,0.0001137044786736372,0.4898376556611318,0.0007026206991873234,-0.5,0.989344919388539
0.06,-1.4,-2.090411960385655,0.0003222844969138055,0.39440452057242104,0.0020022240152877168,-0.5,0.9886239623763957
0.06,-1.2,-1.6759974853502588,0.0002051988554721074,0.32094313245420214,0.0012676375620055986,-0.5,0.9907877889070854
0.06,-0.8,-0.9351951071635269,5.0858571219762585e-5,0.054757814342512756,0.000311467688230326,-0.5,0.9923941412720081
0.06,-0.6,-0.6517498483518731,0.0003984258867650491,-0.014024044454391276,0.002439901607502042,-0.5,0.9923749619278164
0.06,-0.4,-0.4177936254797584,0.00012317366472387896,-0.012022579913315356,0.0007577540041968007,-0.5,0.9917496298273007
0.06,-0.2,-0.20311281992754016,2.864346957845894e-5,-0.008097399090324302,0.0001760023904646943,-0.5,0.9924106322056385
0.06,0.2,0.19602820680501815,0.00012678137987727757,-0.004717069089899606,0.0007788842314102676,-0.5,0.992241639664784
0.06,0.4,0.3796809929975475,8.644584061439361e-5,-0.014463558594648047,0.0005299440039112208,-0.5,0.9920726816634744
0.06,0.6,0.5258215468148859,0.00027202831218347114,0.02953374051507959,0.0016712124614664166,-0.5,0.9916834830608792
0.06,0.8,0.5882694912370852,0.00019757079921145954,0.23498725830965117,0.001209645317367234,-0.5,0.9928654991712328
0.06,1.2,0.6175048755122128,0.0003796450124911772,0.47906604904472877,0.002327345182058816,-0.5,0.9916076537647437
0.06,1.4,0.6253783820004639,0.00021352411648078003,0.5176587748222095,0.0013144568588510886,-0.5,0.9917772332720716
0.06,1.6,0.6315602602044434,0.0004256745699299442,0.5385760279225156,0.0026212501111260132,-0.5,0.9909051215664443
0.06,1.8,0.6356544814285559,0.0005908652473346332,0.5556033234208012,0.003627840499732341,-0.5,0.9916809246982835
0.06,2.0,0.639323132108981,0.0006857151439912152,0.5653286371672928,0.004218458017761871,-0.5,0.9911396169032458
0.075,-2.0,-3.6859407589215594,0.004778102873220936,0.8312191217225315,0.029578945695235552,-0.5,0.9866782968268637
0.075,-1.8,-3.1232501758887627,0.0027860718143043446,0.6816789559919313,0.01742207002357367,-0.5,0.9876614469417028
0.075,-1.6,-2.6043308244660244,0.002985888072533462,0.5097154372863898,0.0186070219823556,-0.5,0.9853429162284858
0.075,-1.4,-2.1397230843436184,0.0017110902945405332,0.3853234477937767,0.010615792483921459,-0.5,0.9869955124665986
0.075,-1.2,-1.7203894864568874,0.0015326140759393408,0.28859592761047126,0.009518318725976381,-0.5,0.9868782928900915
0.075,-0.8,-0.9988441006181371,0.0008730990186555906,0.12123099685915117,0.005429451790783468,-0.5,0.9862201125109339
0.075,-0.6,-0.7001559312809729,0.0003940712482075319,0.055594102586440555,0.0024471683715645213,-0.5,0.9871069974084751
0.075,-0.4,-0.44066521564373506,0.0005668705618774583,0.021048846457029986,0.0035214925592693424,-0.5,0.9867241476474407
0.075,-0.2,-0.20957804630997862,0.0003322440708323814,0.004402696398582548,0.002075861411351021,-0.5,0.9860680806869124
0.075,0.2,0.18990497392712155,0.0003527159889711838,0.004435172433866077,0.00218447512809245,-0.5,0.98556580374241
0.075,0.4,0.35449425631457354,0.00034459888129799416,0.026058423768281304,0.0021386716418795603,-0.5,0.9870300994294544
0.075,0.6,0.4824360403014486,0.0007227595368075768,0.07637425749770319,0.0044937838992546554,-0.5,0.9870052425479318
0.075,0.8,0.5676884734146086,0.0010505805639922643,0.14819047107505418,0.006508433520596529,-0.5,0.9851623084133494
0.075,1.2,0.650368891288865,0.0016207964366655447,0.26553939866104087,0.010117637140253275,-0.5,0.9868571845564155
0.075,1.4,0.6728515793120164,0.0018906800574663217,0.2867920555325888,0.011776379007935971,-0.5,0.9867091217334514
0.075,1.6,0.6885957456499268,0.002549639013702913,0.30302492017282645,0.015850506349490957,-0.5,0.9859118241749549
0.075,1.8,0.6998313408704615,0.0022304267260965633,0.3173044785420718,0.013825378297786205,-0.5,0.9876956515286903
0.075,2.0,0.7089416528424811,0.0021616032566368366,0.32368808166689367,0.013491210795257925,-0.5,0.9865679597988509
